id;amount;description;date;created_at;updated_at
1;19098.86;blablabla;2024-07-12T19:54:20;2024-07-13T07:57:13;2024-07-12T22:12:13
2;9397.85;aujourd'hui au point que;2024-07-12T12:38:29;2024-07-12T14:16:15;2024-07-12T21:56:21
3;20890.65;d'après;2024-07-13T04:44:44;2024-07-13T07:29:57;2024-07-13T09:15:25
4;3391.16;quant à;2024-07-12T15:55:59;2024-07-13T04:43:37;2024-07-12T20:33:35
5;16402.53;quand athlète;2024-07-12T17:29:06;2024-07-12T21:25:43;2024-07-12T19:06:36
6;21699.89;baisser;2024-07-12T18:50:38;2024-07-12T18:59:41;2024-07-12T14:40:24
7;9122.36;détendre comme;2024-07-12T18:08:31;2024-07-13T00:31:29;2024-07-13T02:31:17
8;9160.08;débrouiller hôte satisfaire;2024-07-13T00:07:21;2024-07-12T10:58:05;2024-07-12T14:11:25
9;13477.19;vers pas mal altruiste;2024-07-12T14:50:01;2024-07-12T14:24:15;2024-07-12T23:56:37
10;16114.1;fourbe;2024-07-13T09:02:45;2024-07-12T22:11:49;2024-07-13T04:21:49
